2026-08-13 08:41:54 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:41:54 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.721289 MHz in FM mode
2026-08-13 08:41:57 [ERROR   ] sdr_monitor.web_backend (main.py:568): Audio send task error: 
2026-08-13 08:41:57 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:41:57 [ERROR   ] sdr_monitor.web_backend (main.py:587): Audio WebSocket receive error: WebSocket is not connected. Need to call "accept" first.
2026-08-13 08:41:59 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:41:59 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.721289 MHz in AM mode
2026-08-13 08:41:59 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:41:59 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:42:01 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:42:01 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.721289 MHz in FM mode
2026-08-13 08:42:02 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:42:02 [ERROR   ] sdr_monitor.web_backend (main.py:568): Audio send task error: 
2026-08-13 08:42:02 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:42:11 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:42:11 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 94.494987 MHz in FM mode
2026-08-13 08:43:41 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:43:41 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:43:41 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 08DE85CE [hardware]
2026-08-13 08:43:41 [INFO    ] sdr_monitor.web_backend (main.py:423): Hardware reload requested; engine now in hardware mode.
2026-08-13 08:44:16 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:44:16 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:44:25 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:44:25 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.672292 MHz in FM mode
2026-08-13 08:44:39 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:44:39 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:44:42 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:44:42 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.672292 MHz in FM mode
2026-08-13 08:44:49 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:44:49 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:44:53 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:44:53 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.672292 MHz in FM mode
2026-08-13 08:44:58 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:44:58 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:45:03 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:45:03 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.672292 MHz in FM mode
2026-08-13 08:45:05 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:45:05 [ERROR   ] sdr_monitor.web_backend (main.py:568): Audio send task error: 
2026-08-13 08:45:05 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:45:20 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:45:20 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.672292 MHz in FM mode
2026-08-13 08:45:22 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:45:22 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:53:23 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:53:23 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:53:23 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 3D99E060 [hardware]
2026-08-13 08:53:23 [INFO    ] sdr_monitor.web_backend (main.py:196): SDR started in [HARDWARE] mode. Session: 3D99E060
2026-08-13 08:54:00 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:54:00 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 94.56535 MHz in FM mode
2026-08-13 08:56:28 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:56:28 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:56:28 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 40BCD123 [hardware]
2026-08-13 08:56:28 [INFO    ] sdr_monitor.web_backend (main.py:196): SDR started in [HARDWARE] mode. Session: 40BCD123
2026-08-13 08:56:46 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:56:46 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:56:47 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 35584362 [hardware]
2026-08-13 08:56:47 [INFO    ] sdr_monitor.web_backend (main.py:196): SDR started in [HARDWARE] mode. Session: 35584362
2026-08-13 08:57:50 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:57:50 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:57:52 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:57:52 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 155.005066 MHz in FM mode
2026-08-13 08:58:38 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:58:38 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:58:38 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:58:38 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 159.321175 MHz in FM mode
2026-08-13 08:59:28 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:59:28 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 10:41:24 [INFO    ] sdr_monitor.web_backend (main.py:219): Shutting down Web-SDR Application...
2026-08-13 10:41:53 [INFO    ] sdr_monitor (logger.py:65): Logger initialized  →  logs\sdr_monitor_20260813.log
2026-08-13 10:41:53 [DEBUG   ] sdr_monitor.signal_processor (signal_processor.py:85): SignalProcessor  fft=1024  window=hann  avg=3
2026-08-13 10:41:53 [INFO    ] sdr_monitor.db_manager (db_manager.py:29): Database initialized at: data/sdr_monitor.db
2026-08-13 10:41:54 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 5154B281 [simulation]
2026-08-13 10:41:56 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 10:41:56 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 10:41:56 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: E9B325C8 [hardware]
2026-08-13 10:41:56 [INFO    ] sdr_monitor.web_backend (main.py:220): SDR started in [HARDWARE] mode. Session: E9B325C8
2026-08-13 10:41:56 [INFO    ] sdr_monitor.web_backend (main.py:239): Web-SDR Application Started. Session: E9B325C8
2026-08-13 10:42:11 [INFO    ] sdr_monitor.web_backend (main.py:571): Client disconnected from WebSocket.
2026-08-13 10:42:33 [INFO    ] sdr_monitor (logger.py:65): Logger initialized  →  logs\sdr_monitor_20260813.log
2026-08-13 10:42:33 [DEBUG   ] sdr_monitor.signal_processor (signal_processor.py:85): SignalProcessor  fft=1024  window=hann  avg=3
2026-08-13 10:42:33 [INFO    ] sdr_monitor.db_manager (db_manager.py:29): Database initialized at: data/sdr_monitor.db
2026-08-13 10:42:34 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 3C150932 [simulation]
2026-08-13 10:42:34 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 10:42:34 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 10:42:35 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 1CD24F6F [hardware]
2026-08-13 10:42:35 [INFO    ] sdr_monitor.web_backend (main.py:220): SDR started in [HARDWARE] mode. Session: 1CD24F6F
2026-08-13 10:42:35 [INFO    ] sdr_monitor.web_backend (main.py:239): Web-SDR Application Started. Session: 1CD24F6F
2026-08-13 10:43:11 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 10:43:11 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 10:43:11 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 86A2422A [hardware]
2026-08-13 10:43:11 [INFO    ] sdr_monitor.web_backend (main.py:220): SDR started in [HARDWARE] mode. Session: 86A2422A
2026-08-13 10:43:18 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:43:18 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 94.524823 MHz in FM mode
2026-08-13 10:43:32 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:43:32 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 10:43:33 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:43:33 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 94.56535 MHz in FM mode
2026-08-13 10:43:54 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:43:54 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 10:43:57 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:43:57 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 90.24924 MHz in FM mode
2026-08-13 10:43:58 [INFO    ] sdr_monitor.web_backend (main.py:607): Audio streaming stopped.
2026-08-13 10:43:58 [INFO    ] sdr_monitor.web_backend (main.py:609): Audio WebSocket client disconnected.
2026-08-13 10:44:22 [INFO    ] sdr_monitor.web_backend (main.py:580): Audio WebSocket client connected.
2026-08-13 10:44:22 [INFO    ] sdr_monitor.web_backend (main.py:603): Audio streaming started for 105.973658 MHz in FM mode
