2026-08-31 09:11:53 [INFO    ] sdr_monitor (logger.py:65): Logger initialized  →  logs\sdr_monitor_20260831.log
2026-08-31 09:11:53 [DEBUG   ] sdr_monitor.signal_processor (signal_processor.py:85): SignalProcessor  fft=1024  window=hann  avg=3
2026-08-31 09:11:53 [INFO    ] sdr_monitor.db_manager (db_manager.py:29): Database initialized at: data/sdr_monitor.db
2026-08-31 09:11:53 [DEBUG   ] sdr_monitor.audio_demodulator (audio_demodulator.py:54): AudioDemodulator init: target=48000 Hz, baseband=200000 Hz, chunk=50 ms
2026-08-31 09:11:54 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 42756C0D [simulation]
2026-08-31 09:11:54 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:218): SoapySDR: no HackRF device found. Enumerated devices: ()
2026-08-31 09:11:54 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:465): SDREngine initialized in simulation mode.
2026-08-31 09:11:55 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 41407D5D [simulation]
2026-08-31 09:11:55 [INFO    ] sdr_monitor.web_backend (main.py:232): SDR started in [SIMULATION] mode. Session: 41407D5D
2026-08-31 09:11:55 [INFO    ] sdr_monitor.web_backend (main.py:251): Web-SDR Application Started. Session: 41407D5D
2026-08-31 10:16:04 [ERROR   ] sdr_monitor.web_backend (main.py:585): WebSocket error: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
2026-08-31 10:35:17 [ERROR   ] sdr_monitor.web_backend (main.py:585): WebSocket error: Unexpected ASGI message 'websocket.send', after sending 'websocket.close'.
2026-08-31 10:46:00 [INFO    ] sdr_monitor.web_backend (main.py:255): Shutting down Web-SDR Application...
